,new_Predicted
27376,1767.05093307908
36898,572.4121250425719
105906,1116.7369944601764
55979,780.0456821138349
137314,219.7263344240223
146820,1310.4091533938356
63566,2842.96717538171
138596,870.0402730429261
75763,1236.6874617990795
36554,115.77034535732741
65069,870.0402730429261
46753,1995.243395167516
7077,115.77034535732741
8454,2842.96717538171
53157,1116.7369944601764
147320,660.095214774932
156428,1116.7369944601764
62264,1310.4091533938356
151757,-67.67809810035916
140202,129.73174349493115
124501,2842.96717538171
87325,1236.6874617990795
150686,780.0456821138349
26545,3373.3306466617105
142828,2932.961766310801
68403,1116.7369944601764
3171,3373.3306466617105
132220,780.0456821138349
88227,586.3735231801759
105414,1236.6874617990795
27938,129.73174349493115
68214,572.4121250425719
149091,2932.961766310801
66505,3299.608955066955
156317,219.7263344240223
94868,1116.7369944601764
50184,2842.96717538171
131556,660.095214774932
138182,586.3735231801759
150025,2009.2047933051197
145884,2842.96717538171
21778,1116.7369944601764
25960,2842.96717538171
154706,870.0402730429261
156116,660.095214774932
10102,660.095214774932
147481,-310.6371368559785
4342,3373.3306466617105
68885,1236.6874617990795
14010,1236.6874617990795
