index,모델 버전,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
147458,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2025552,20-Apr,Apr,20,-2212.9424379948673,냉동,B2C,222110120,X,C
131644,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2015151,20-Jan,Jan,20,1543.471980570976,냉장,B2B,121190130,X,C
154931,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2025863,20-Jan,Jan,20,1543.471980570976,냉장,B2B,270100100,X,C
71658,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1021961,20-Apr,Apr,20,-1659.3517553666973,냉장,B2C,223160100,X,C
68589,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1019490,20-Jan,Jan,20,-688.2997597177281,냉장,B2C,440250130,X,B
135819,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2015675,20-Apr,Apr,20,121.34171000075844,상온,B2C,290100180,X,B
82358,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1103557,20-Mar,Mar,20,-849.7102856482107,상온,B2C,380110100,X,C
144395,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2020819,20-Apr,Apr,20,2353.1134502894624,상온,B2B,420120100,X,C
71949,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1021338,20-May,May,20,3324.1654459384317,상온,B2B,270120140,X,B
143250,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2017623,20-Mar,Mar,20,4127.637306729228,냉장,B2C,330120100,X,A
145942,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2020827,20-Mar,Mar,20,121.34171000075844,상온,B2C,460170100,X,B
119241,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2014147,20-Apr,Apr,20,-831.2569482606308,냉장,미지정,223150110,O,C
148628,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2024303,20-Apr,Apr,20,-1241.890442345898,냉동,B2C,222190100,X,B
152996,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2023723,20-Apr,Apr,20,1543.471980570976,냉장,B2B,420150110,X,C
53387,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1016831,20-Jan,Jan,20,-1659.3517553666973,냉장,B2C,440290230,X,C
69307,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1021100,20-Jan,Jan,20,8140.102512385388,상온,B2B,100110110,X,A
68689,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1019939,20-Feb,Feb,20,-688.2997597177281,냉장,B2C,440250130,X,B
40196,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1015063,20-May,May,20,8140.102512385388,상온,B2B,110110440,X,A
62470,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1019099,20-Jan,Jan,20,4937.278776447714,상온,B2C,110110100,X,A
156022,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2026180,20-Apr,Apr,20,2353.1134502894624,상온,B2B,997170130,X,C
24221,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1011679,20-Jan,Jan,20,4937.278776447714,상온,B2C,110120230,X,A
137095,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2015468,20-Jan,Jan,20,989.8812979428058,냉동,B2B,420120140,X,C
56550,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1017041,20-Apr,Apr,20,-849.7102856482107,상온,B2C,180170110,X,C
59073,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1017130,20-May,May,20,-556.827059697385,냉장,미지정,390150110,X,C
91017,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2009002,20-Jan,Jan,20,989.8812979428058,냉동,B2B,420120140,X,C
104011,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2012182,20-May,May,20,-849.7102856482107,상온,B2C,224180100,X,C
46114,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1014850,20-May,May,20,-1659.3517553666973,냉장,B2C,440300100,X,C
141700,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2018468,20-Jan,Jan,20,3574.046624101058,냉동,B2C,222220100,X,A
104206,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2012331,20-May,May,20,3324.1654459384317,상온,B2B,230100140,X,B
109646,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2012988,20-May,May,20,139.7950473883384,냉장,미지정,223140110,O,B
148334,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2025521,20-Apr,Apr,20,1960.933293591775,냉동,B2B,222160190,X,B
67999,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1019020,20-Mar,Mar,20,-21.615478542144274,상온,미지정,380130100,O,C
143410,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2020914,20-Apr,Apr,20,1543.471980570976,냉장,B2B,330190110,X,C
153417,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2022949,20-Jan,Jan,20,-831.2569482606308,냉장,미지정,440290250,O,C
24550,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1011107,20-May,May,20,121.34171000075844,상온,B2C,121160290,X,B
17469,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1007101,20-Apr,Apr,20,4937.278776447714,상온,B2C,121160100,X,A
74209,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1103121,20-Feb,Feb,20,4127.637306729228,냉장,B2C,440260100,X,A
155857,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2026051,20-Mar,Mar,20,-2212.9424379948673,냉동,B2C,996300130,X,C
128078,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2014530,20-Feb,Feb,20,3324.1654459384317,상온,B2B,350210150,X,B
127303,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2014364,20-Feb,Feb,20,-1659.3517553666973,냉장,B2C,310210110,X,C
6237,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1001908,20-Mar,Mar,20,3324.1654459384317,상온,B2B,360180110,X,B
87750,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2008530,20-Jan,Jan,20,2353.1134502894624,상온,B2B,240180100,X,C
154170,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2027402,20-May,May,20,1543.471980570976,냉장,B2B,121190130,X,C
151372,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2023588,20-Mar,Mar,20,-688.2997597177281,냉장,B2C,330120110,X,B
148956,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2024286,20-Mar,Mar,20,-2212.9424379948673,냉동,B2C,222220100,X,C
148287,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2025571,20-Mar,Mar,20,3574.046624101058,냉동,B2C,222160140,X,A
12941,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,1005930,20-Mar,Mar,20,-1933.7816439299431,냉장,B2C,440250100,O,C
155035,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2103208,20-Feb,Feb,20,989.8812979428058,냉동,B2B,280160100,X,C
139889,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2021280,20-Mar,Mar,20,-849.7102856482107,상온,B2C,121230170,X,C
83741,"OLS_Least Squares_Mon, 29 Mar 2021",DAESANG,RD,2005137,20-Jan,Jan,20,4127.637306729228,냉장,B2C,440290100,X,A
